id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
6123415060, '', '', 3.0, 2.0, 1810.0, 6198.0, '', '', '', '', '', '', '', -1, '', u'98177', 477.71335, -122.358212, '', ''
7488078255, '', '', 4.0, 4.0, 3080.0, 36154.0, '', '', '', '', '', '', '', -1, '', u'98027', 474.67851, -122.01055, '', ''
9844329224, '', '', 2.0, 1.0, 690.0, 4721.0, '', '', '', '', '', '', '', -1, '', u'98106', 475.24554, -122.358143, '', ''
588296013, '', '', 4.0, 2.75, 2250.0, 17859.0, '', '', '', '', '', '', '', -1, '', u'98058', 474.55769, -122.088972, '', ''
4549248854, '', '', 4.0, 5.0, 4930.0, 10454.0, '', '', '', '', '', '', '', -1, '', u'98040', 475.31001000000003, -122.218613, '', ''
6911710555, '', '', 4.0, 3.0, 2542.0, 5227.0, '', '', '', '', '', '', '', -1, '', u'98103', 476.90683, -122.335295, '', ''
5477112511, '', '', 2.0, 2.0, 925.0, 435.0, '', '', '', '', '', '', '', -1, '', u'98117', 476.90733, -122.38026, '', ''
3309757006, '', '', 3.0, 2.0, 1880.0, 5248.0, '', '', '', '', '', '', '', -1, '', u'98133', 477.31228, -122.341598, '', ''
2999609803, '', '', 2.0, 1.0, 730.0, 3998.0, '', '', '', '', '', '', '', -1, '', u'98103', 476.86616000000004, -122.329062, '', ''
2126351116, '', '', 5.0, 3.0, 3760.0, 5662.0, '', '', '', '', '', '', '', -1, '', u'98116', 475.57810000000006, -122.388588, '', ''
5366918273, '', '', 3.0, 1.0, 2660.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98117', 476.82646, -122.398714, '', ''
8172758869, '', '', 2.0, 2.0, 1415.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98125', 477.24870000000004, -122.31276, '', ''
9360241769, '', '', 4.0, 2.0, 2550.0, 4356.0, '', '', '', '', '', '', '', -1, '', u'98103', 476.65558, -122.337229, '', ''
7582312169, '', '', 4.0, 3.0, 2320.0, 5000.0, '', '', '', '', '', '', '', -1, '', u'98105', 476.59623000000005, -122.287634, '', ''
9592565785, '', '', 2.0, 2.0, 1222.0, 6969.0, '', '', '', '', '', '', '', -1, '', u'98126', 475.44533, -122.374831, '', ''
431895944, '', '', 2.0, 1.0, 300.0, 505.0, '', '', '', '', '', '', '', -1, '', u'98109', 476.44537, -122.345166, '', ''
3963868215, '', '', 4.0, 3.0, 2488.0, 47044.0, '', '', '', '', '', '', '', -1, '', u'98053', 476.63549, -122.022318, '', ''
9815182174, '', '', 11.0, 13.0, 12209.0, 103237.0, '', '', '', '', '', '', '', -1, '', u'98023', 473.20360999999997, -122.338694, '', ''
8975513285, '', '', 4.0, 4.0, 4074.0, 8276.0, '', '', '', '', '', '', '', -1, '', u'98004', 476.33977000000004, -122.20005, '', ''
9244153436, '', '', 6.0, 8.0, 7555.0, 19057.0, '', '', '', '', '', '', '', -1, '', u'98004', 476.28033000000005, -122.220148, '', ''
8393499606, '', '', 3.0, 1.75, 1690.0, 7840.0, '', '', '', '', '', '', '', -1, '', u'98133', 477.22227, -122.350738, '', ''
2138725722, '', '', 2.0, 2.0, 916.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98121', 476.14345000000003, -122.347856, '', ''
3874348535, '', '', 3.0, 2.0, 1840.0, 3920.0, '', '', '', '', '', '', '', -1, '', u'98117', 476.83491, -122.389451, '', ''
6939981651, '', '', 4.0, 2.0, 1860.0, 3920.0, '', '', '', '', '', '', '', -1, '', u'98109', 476.44512, -122.355095, '', ''
9164896803, '', '', 1.0, 1.0, 162.0, 431.0, '', '', '', '', '', '', '', -1, '', u'98103', 476.50475, -122.329913, '', ''
5408931640, '', '', 3.0, 3.0, 2030.0, 6969.0, '', '', '', '', '', '', '', -1, '', u'98177', 477.27974000000006, -122.359491, '', ''
4071975953, '', '', 5.0, 2.0, 2600.0, 14374.0, '', '', '', '', '', '', '', -1, '', u'98118', 475.49251, -122.271766, '', ''
7493493435, '', '', 2.0, 1.0, 1440.0, 8759.0, '', '', '', '', '', '', '', -1, '', u'98125', 477.09495, -122.288462, '', ''
5842194976, '', '', 3.0, 2.0, 1230.0, 44431.0, '', '', '', '', '', '', '', -1, '', u'98038', 473.94599, -121.973205, '', ''
5974122817, '', '', 4.0, 4.0, 3596.0, 4595.0, '', '', '', '', '', '', '', -1, '', u'98103', 476.87154, -122.357754, '', ''
4005652973, '', '', 2.0, 2.0, 637.0, 400.0, '', '', '', '', '', '', '', -1, '', u'98106', 475.69543000000004, -122.360304, '', ''
8377307730, '', '', 3.0, 1.0, 1870.0, 12000.0, '', '', '', '', '', '', '', -1, '', u'98059', 474.83112, -122.085244, '', ''
93985979, '', '', 4.0, 3.0, 2000.0, 7396.0, '', '', '', '', '', '', '', -1, '', u'98092', 472.58396, -122.210332, '', ''
6598538086, '', '', 4.0, 3.0, 2130.0, 5941.0, '', '', '', '', '', '', '', -1, '', u'98116', 475.60199, -122.395182, '', ''
4975654712, '', '', 5.0, 3.0, 2650.0, 17998.0, '', '', '', '', '', '', '', -1, '', u'98005', 476.01599999999996, -122.15833, '', ''
608748708, '', '', 3.0, 3.0, 1488.0, 736.0, '', '', '', '', '', '', '', -1, '', u'98103', 476.59794, -122.345836, '', ''
452514451, '', '', 2.0, 2.0, 1186.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98115', 476.9853, -122.327866, '', ''
7096636945, '', '', 3.0, 3.0, 1200.0, 15000.0, '', '', '', '', '', '', '', -1, '', u'98166', 474.29872, -122.343068, '', ''
4178562404, '', '', 6.0, 4.0, 5045.0, 11169.0, '', '', '', '', '', '', '', -1, '', u'98006', 475.54752, -122.107061, '', ''
8702267538, '', '', 4.0, 5.0, 3270.0, 5000.0, '', '', '', '', '', '', '', -1, '', u'98112', 476.23998, -122.301472, '', ''
7986042583, '', '', 3.0, 3.0, 1770.0, 1607.0, '', '', '', '', '', '', '', -1, '', u'98107', 476.68402000000003, -122.400026, '', ''
2584000962, '', '', 3.0, 2.0, 2120.0, 6534.0, '', '', '', '', '', '', '', -1, '', u'98126', 475.477, -122.380121, '', ''
8643942115, '', '', 3.0, 2.0, 1250.0, 6198.0, '', '', '', '', '', '', '', -1, '', u'98118', 475.26311, -122.266686, '', ''
5514589869, '', '', 0.0, 1.0, 451.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98102', 476.21833000000004, -122.32235, '', ''
4550995083, '', '', 4.0, 4.0, 4180.0, 7200.0, '', '', '', '', '', '', '', -1, '', u'98112', 476.259, -122.289035, '', ''
9790343490, '', '', 4.0, 3.0, 3079.0, 8524.0, '', '', '', '', '', '', '', -1, '', u'98006', 475.6567, -122.156232, '', ''
7169868469, '', '', 2.0, 1.0, 720.0, 6895.0, '', '', '', '', '', '', '', -1, '', u'98117', 476.99895, -122.361252, '', ''
3335063827, '', '', 4.0, 3.0, 1890.0, 4499.0, '', '', '', '', '', '', '', -1, '', u'98115', 476.85319, -122.325367, '', ''
126499742, '', '', 4.0, 5.0, 5311.0, 87120.0, '', '', '', '', '', '', '', -1, '', u'98072', 477.37851, -122.133516, '', ''
1899382231, '', '', 1.0, 1.0, 880.0, 13198.0, '', '', '', '', '', '', '', -1, '', u'98168', 474.80719999999997, -122.277912, '', ''
4505655030, '', '', 2.0, 1.0, 1000.0, 10018.0, '', '', '', '', '', '', '', -1, '', u'98168', 474.95041000000003, -122.33141, '', ''
7828019108, '', '', 2.0, 2.0, 1159.0, -1.0, '', '', '', '', '', '', '', -1, '', u'98102', 476.49329, -122.323929, '', ''
9009546006, '', '', 4.0, 3.0, 2230.0, 9600.0, '', '', '', '', '', '', '', -1, '', u'98008', 476.24609999999996, -122.090546, '', ''
1879780619, '', '', 5.0, 2.75, 3077.0, 4791.0, '', '', '', '', '', '', '', -1, '', u'98056', 474.95958, -122.174613, '', ''
3301025823, '', '', 4.0, 2.75, 3210.0, 13939.0, '', '', '', '', '', '', '', -1, '', u'98008', 476.37913, -122.120033, '', ''
1676110913, '', '', 4.0, 2.75, 3050.0, 11325.0, '', '', '', '', '', '', '', -1, '', u'98040', 475.46366, -122.220932, '', ''
6479340057, '', '', 4.0, 3.0, 2530.0, 3049.0, '', '', '', '', '', '', '', -1, '', u'98109', 476.43774, -122.354062, '', ''
5041126305, '', '', 3.0, 3.0, 2608.0, 15812.0, '', '', '', '', '', '', '', -1, '', u'98008', 475.97746, -122.110173, '', ''
6947017017, '', '', 3.0, 4.0, 2060.0, 2548.0, '', '', '', '', '', '', '', -1, '', u'98103', 476.91442, -122.345819, '', ''
6116570145, '', '', 4.0, 4.0, 2864.0, 4791.0, '', '', '', '', '', '', '', -1, '', u'98107', 476.75043000000005, -122.393312, '', ''
5386982709, '', '', 2.0, 2.0, 1260.0, 2613.0, '', '', '', '', '', '', '', -1, '', u'98052', 476.7425, -122.150779, '', ''
129792877, '', '', 4.0, 3.0, 1700.0, 7056.0, '', '', '', '', '', '', '', -1, '', u'98001', 473.38527, -122.261916, '', ''
4897830817, '', '', 4.0, 2.0, 1610.0, 13677.0, '', '', '', '', '', '', '', -1, '', u'98023', 473.31265, -122.341536, '', ''
